Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,Gross
Alien,1979,117,"Horror, Sci-Fi",8.5,Ridley Scott,"9,05,275",$78.90M
Psycho,1960,109,"Horror, Mystery, Thriller",8.5,Alfred Hitchcock,"6,89,068",$32.00M
The Shining,1980,146,"Drama, Horror",8.4,Stanley Kubrick,"10,51,582",$44.02M
The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,John Carpenter,"4,39,793",$13.78M
Tumbbad,2018,104,"Drama, Fantasy, Horror",8.2,Rahi Anil Barve,"53,297",
The Exorcist,1973,122,Horror,8.1,William Friedkin,"4,22,330",$232.91M
Diabolique,1955,117,"Crime, Drama, Horror",8.1,Henri-Georges Clouzot,"67,456",$1.09M
Rosemary's Baby,1968,137,"Drama, Horror",8,Roman Polanski,"2,23,968",
What Ever Happened to Baby Jane?,1962,134,"Drama, Horror, Thriller",8,Robert Aldrich,"58,904",$4.05M
The Cabinet of Dr. Caligari,1920,67,"Horror, Mystery, Thriller",8,Robert Wiene,"66,749",
The Blue Elephant,2014,170,"Drama, Horror, Mystery",8,Marwan Hamed,"29,151",
Shaun of the Dead,2004,99,"Comedy, Horror",7.9,Edgar Wright,"5,72,237",$13.54M
Nosferatu,1922,94,"Fantasy, Horror",7.9,F.W. Murnau,"1,00,942",
Let the Right One In,2008,114,"Drama, Fantasy, Horror",7.9,Tomas Alfredson,"2,21,604",$2.12M
King Kong,1933,100,"Adventure, Horror, Sci-Fi",7.9,Merian C. Cooper,"88,019",$10.00M
Get Out I,2017,104,"Horror, Mystery, Thriller",7.8,Jordan Peele,"6,42,604",$176.04M
Predator,1987,107,"Action, Adventure, Horror",7.8,John McTiernan,"4,35,400",$59.74M
I Saw the Devil,2010,144,"Action, Crime, Horror",7.8,Jee-woon Kim,"1,37,559",$0.13M
Dawn of the Dead,1978,127,"Horror, Thriller",7.8,George A. Romero,"1,24,374",$5.10M
Night of the Living Dead,1968,96,"Horror, Thriller",7.8,George A. Romero,"1,33,452",$0.09M
Freaks,1932,64,"Drama, Horror",7.8,Tod Browning,"48,381",$0.63M
Frankenstein,1931,70,"Drama, Horror, Sci-Fi",7.8,James Whale,"75,779",
The Innocents,1961,100,Horror,7.8,Jack Clayton,"31,689",$2.62M
The Bride of Frankenstein,1935,75,"Drama, Horror, Sci-Fi",7.8,James Whale,"50,611",$4.36M
Evil Dead II,1987,84,"Comedy, Horror",7.7,Sam Raimi,"1,73,914",$5.92M
Halloween,1978,91,"Horror, Thriller",7.7,John Carpenter,"2,89,224",$47.00M
Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi",7.7,Don Siegel,"52,292",
American Psycho,2000,102,"Crime, Drama, Horror",7.6,Mary Harron,"6,58,696",$15.07M
Saw,2004,103,"Horror, Mystery, Thriller",7.6,James Wan,"4,36,144",$56.00M
Train to Busan,2016,118,"Action, Horror, Thriller",7.6,Sang-ho Yeon,"2,35,577",$2.13M
The Fly,1986,96,"Drama, Horror, Sci-Fi",7.6,David Cronenberg,"1,91,571",$40.46M
Zombieland,2009,88,"Action, Comedy, Horror",7.6,Ruben Fleischer,"5,96,433",$75.59M
The Birds,1963,119,"Drama, Horror, Mystery",7.6,Alfred Hitchcock,"1,96,469",$11.40M
The Skin I Live In,2011,120,"Drama, Horror, Mystery",7.6,Pedro Almodóvar,"1,58,708",$3.19M
The Others,2001,104,"Horror, Mystery, Thriller",7.6,Alejandro Amenábar,"3,77,287",$96.52M
What We Do in the Shadows,2014,86,"Comedy, Horror",7.6,Jemaine Clement,"1,90,548",$3.33M
Eyes Without a Face,1960,90,"Drama, Horror",7.6,Georges Franju,"33,321",$0.05M
Vampire Hunter D: Bloodlust,2000,103,"Animation, Action, Drama",7.6,Jack Fletcher,"33,553",$0.15M
Repulsion,1965,105,"Drama, Horror, Thriller",7.6,Roman Polanski,"55,043",
One Cut of the Dead,2017,96,"Comedy, Drama, Horror",7.6,Shin'ichirô Ueda,"27,004",
The Invisible Man,1933,71,"Horror, Sci-Fi",7.6,James Whale,"37,549",
Peeping Tom,1960,101,"Drama, Horror, Thriller",7.6,Michael Powell,"37,256",$0.08M
The Conjuring,2013,112,"Horror, Mystery, Thriller",7.5,James Wan,"5,26,164",$137.40M
A Quiet Place,2018,90,"Drama, Horror, Sci-Fi",7.5,John Krasinski,"5,51,233",$188.02M
28 Days Later,2002,113,"Drama, Horror, Sci-Fi",7.5,Danny Boyle,"4,25,705",$45.06M
Interview with the Vampire: The Vampire Chronicles,1994,123,"Drama, Fantasy, Horror",7.5,Neil Jordan,"3,33,084",$105.26M
The Crow,1994,102,"Action, Crime, Drama",7.5,Alex Proyas,"1,90,666",$50.69M
An American Werewolf in London,1981,97,"Comedy, Horror",7.5,John Landis,"1,13,179",$30.57M
Tucker and Dale vs Evil,2010,89,"Comedy, Horror",7.5,Eli Craig,"1,86,643",$0.22M
The Wicker Man,1973,88,"Horror, Mystery, Thriller",7.5,Robin Hardy,"85,380",$0.06M
