name,quality,value
100 Grand,chocolate,1
3 Musketeers,chocolate,1
One dime,chocolate,0
One quarter,chocolate,0
Air Heads,chocolate,0
Almond Joy,chocolate,1
Baby Ruth,chocolate,1
Boston Baked Beans,chocolate,0
Candy Corn,chocolate,0
Caramel Apple Pops,chocolate,0
Charleston Chew,chocolate,1
Chewey Lemonhead Fruit Mix,chocolate,0
Chiclets,chocolate,0
Dots,chocolate,0
Dum Dums,chocolate,0
Fruit Chews,chocolate,0
Fun Dip,chocolate,0
Gobstopper,chocolate,0
Haribo Gold Bears,chocolate,0
Haribo Happy Cola,chocolate,0
Haribo Sour Bears,chocolate,0
Haribo Twin Snakes,chocolate,0
HersheyÕs Kisses,chocolate,1
HersheyÕs Krackel,chocolate,1
HersheyÕs Milk Chocolate,chocolate,1
HersheyÕs Special Dark,chocolate,1
Jawbusters,chocolate,0
Junior Mints,chocolate,1
Kit Kat,chocolate,1
Laffy Taffy,chocolate,0
Lemonhead,chocolate,0
Lifesavers big ring gummies,chocolate,0
Peanut butter M&MÕs,chocolate,1
M&MÕs,chocolate,1
Mike & Ike,chocolate,0
Milk Duds,chocolate,1
Milky Way,chocolate,1
Milky Way Midnight,chocolate,1
Milky Way Simply Caramel,chocolate,1
Mounds,chocolate,1
Mr Good Bar,chocolate,1
Nerds,chocolate,0
Nestle Butterfinger,chocolate,1
Nestle Crunch,chocolate,1
Nik L Nip,chocolate,0
Now & Later,chocolate,0
Payday,chocolate,0
Peanut M&Ms,chocolate,1
Pixie Sticks,chocolate,0
Pop Rocks,chocolate,0
Red vines,chocolate,0
ReeseÕs Miniatures,chocolate,1
ReeseÕs Peanut Butter cup,chocolate,1
ReeseÕs pieces,chocolate,1
ReeseÕs stuffed with pieces,chocolate,1
Ring pop,chocolate,0
Rolo,chocolate,1
Root Beer Barrels,chocolate,0
Runts,chocolate,0
Sixlets,chocolate,1
Skittles original,chocolate,0
Skittles wildberry,chocolate,0
Nestle Smarties,chocolate,1
Smarties candy,chocolate,0
Snickers,chocolate,1
Snickers Crisper,chocolate,1
Sour Patch Kids,chocolate,0
Sour Patch Tricksters,chocolate,0
Starburst,chocolate,0
Strawberry bon bons,chocolate,0
Sugar Babies,chocolate,0
Sugar Daddy,chocolate,0
Super Bubble,chocolate,0
Swedish Fish,chocolate,0
Tootsie Pop,chocolate,1
Tootsie Roll Juniors,chocolate,1
Tootsie Roll Midgies,chocolate,1
Tootsie Roll Snack Bars,chocolate,1
Trolli Sour Bites,chocolate,0
Twix,chocolate,1
Twizzlers,chocolate,0
Warheads,chocolate,0
WelchÕs Fruit Snacks,chocolate,0
WertherÕs Original Caramel,chocolate,0
Whoppers,chocolate,1
100 Grand,fruity,0
3 Musketeers,fruity,0
One dime,fruity,0
One quarter,fruity,0
Air Heads,fruity,1
Almond Joy,fruity,0
Baby Ruth,fruity,0
Boston Baked Beans,fruity,0
Candy Corn,fruity,0
Caramel Apple Pops,fruity,1
Charleston Chew,fruity,0
Chewey Lemonhead Fruit Mix,fruity,1
Chiclets,fruity,1
Dots,fruity,1
Dum Dums,fruity,1
Fruit Chews,fruity,1
Fun Dip,fruity,1
Gobstopper,fruity,1
Haribo Gold Bears,fruity,1
Haribo Happy Cola,fruity,0
Haribo Sour Bears,fruity,1
Haribo Twin Snakes,fruity,1
HersheyÕs Kisses,fruity,0
HersheyÕs Krackel,fruity,0
HersheyÕs Milk Chocolate,fruity,0
HersheyÕs Special Dark,fruity,0
Jawbusters,fruity,1
Junior Mints,fruity,0
Kit Kat,fruity,0
Laffy Taffy,fruity,1
