,HAPPY,YEAR,AGE,WORKLIFE,MEDITATE,PERHRH,TWITTER,INSTAGRM,SATJOB1,NUMPETS,DOG,CAT,HLPNEEDY,VISZOO,VISTHOLY
0,3,1972,23,,,,,,,,,,,,
1,3,1972,70,,,,,,,,,,,,
2,2,1972,48,,,,,,,,,,,,
3,3,1972,27,,,,,,,,,,,,
4,2,1972,61,,,,,,,,,,,,
5,2,1972,26,,,,,,,,,,,,
6,3,1972,28,,,,,,,,,,,,
7,3,1972,27,,,,,,,,,,,,
8,2,1972,21,,,,,,,,,,,,
9,2,1972,30,,,,,,,,,,,,
10,2,1972,30,,,,,,,,,,,,
11,2,1972,56,,,,,,,,,,,,
12,2,1972,54,,,,,,,,,,,,
13,3,1972,49,,,,,,,,,,,,
14,1,1972,41,,,,,,,,,,,,
15,3,1972,54,,,,,,,,,,,,
16,1,1972,24,,,,,,,,,,,,
17,1,1972,62,,,,,,,,,,,,
18,1,1972,46,,,,,,,,,,,,
19,1,1972,21,,,,,,,,,,,,
20,1,1972,57,,,,,,,,,,,,
21,1,1972,58,,,,,,,,,,,,
22,1,1972,21,,,,,,,,,,,,
23,1,1972,26,,,,,,,,,,,,
24,2,1972,71,,,,,,,,,,,,
25,1,1972,53,,,,,,,,,,,,
26,2,1972,42,,,,,,,,,,,,
27,2,1972,42,,,,,,,,,,,,
28,2,1972,20,,,,,,,,,,,,
29,2,1972,23,,,,,,,,,,,,
30,2,1972,26,,,,,,,,,,,,
31,1,1972,25,,,,,,,,,,,,
32,2,1972,26,,,,,,,,,,,,
33,1,1972,78,,,,,,,,,,,,
34,1,1972,21,,,,,,,,,,,,
35,3,1972,27,,,,,,,,,,,,
36,1,1972,58,,,,,,,,,,,,
37,2,1972,35,,,,,,,,,,,,
38,3,1972,58,,,,,,,,,,,,
39,2,1972,51,,,,,,,,,,,,
40,1,1972,76,,,,,,,,,,,,
41,3,1972,53,,,,,,,,,,,,
42,2,1972,39,,,,,,,,,,,,
43,1,1972,64,,,,,,,,,,,,
44,2,1972,50,,,,,,,,,,,,
45,1,1972,27,,,,,,,,,,,,
46,2,1972,25,,,,,,,,,,,,
47,2,1972,49,,,,,,,,,,,,
48,1,1972,40,,,,,,,,,,,,
49,2,1972,43,,,,,,,,,,,,
50,2,1972,46,,,,,,,,,,,,
51,1,1972,37,,,,,,,,,,,,
52,1,1972,46,,,,,,,,,,,,
53,1,1972,22,,,,,,,,,,,,
54,1,1972,53,,,,,,,,,,,,
55,2,1972,35,,,,,,,,,,,,
56,2,1972,31,,,,,,,,,,,,
57,2,1972,30,,,,,,,,,,,,
58,1,1972,37,,,,,,,,,,,,
59,1,1972,57,,,,,,,,,,,,
60,1,1972,39,,,,,,,,,,,,
61,2,1972,62,,,,,,,,,,,,
62,2,1972,51,,,,,,,,,,,,
63,2,1972,43,,,,,,,,,,,,
64,1,1972,39,,,,,,,,,,,,
65,2,1972,52,,,,,,,,,,,,
66,2,1972,30,,,,,,,,,,,,
67,1,1972,47,,,,,,,,,,,,
68,2,1972,31,,,,,,,,,,,,
69,2,1972,25,,,,,,,,,,,,
70,2,1972,45,,,,,,,,,,,,
71,2,1972,30,,,,,,,,,,,,
72,2,1972,68,,,,,,,,,,,,
73,3,1972,63,,,,,,,,,,,,
74,2,1972,19,,,,,,,,,,,,
75,2,1972,23,,,,,,,,,,,,
76,2,1972,46,,,,,,,,,,,,
77,3,1972,55,,,,,,,,,,,,
78,1,1972,22,,,,,,,,,,,,
79,2,1972,55,,,,,,,,,,,,
80,2,1972,44,,,,,,,,,,,,
81,2,1972,41,,,,,,,,,,,,
82,1,1972,49,,,,,,,,,,,,
83,1,1972,28,,,,,,,,,,,,
84,2,1972,21,,,,,,,,,,,,
85,1,1972,26,,,,,,,,,,,,
86,2,1972,31,,,,,,,,,,,,
87,2,1972,28,,,,,,,,,,,,
88,1,1972,26,,,,,,,,,,,,
89,2,1972,20,,,,,,,,,,,,
90,1,1972,25,,,,,,,,,,,,
91,2,1972,57,,,,,,,,,,,,
92,2,1972,58,,,,,,,,,,,,
93,1,1972,54,,,,,,,,,,,,
94,1,1972,35,,,,,,,,,,,,
95,1,1972,40,,,,,,,,,,,,
96,1,1972,57,,,,,,,,,,,,
97,1,1972,64,,,,,,,,,,,,
98,1,1972,34,,,,,,,,,,,,
99,2,1972,25,,,,,,,,,,,,
100,1,1972,28,,,,,,,,,,,,
101,2,1972,41,,,,,,,,,,,,
102,1,1972,36,,,,,,,,,,,,
103,1,1972,31,,,,,,,,,,,,
104,2,1972,45,,,,,,,,,,,,
105,2,1972,74,,,,,,,,,,,,
106,2,1972,64,,,,,,,,,,,,
107,2,1972,23,,,,,,,,,,,,
108,1,1972,27,,,,,,,,,,,,
109,3,1972,42,,,,,,,,,,,,
110,3,1972,47,,,,,,,,,,,,
111,2,1972,26,,,,,,,,,,,,
112,2,1972,34,,,,,,,,,,,,
113,2,1972,52,,,,,,,,,,,,
114,2,1972,24,,,,,,,,,,,,
115,2,1972,36,,,,,,,,,,,,
116,2,1972,25,,,,,,,,,,,,
117,3,1972,46,,,,,,,,,,,,
118,2,1972,54,,,,,,,,,,,,
119,2,1972,27,,,,,,,,,,,,
120,2,1972,20,,,,,,,,,,,,
121,1,1972,53,,,,,,,,,,,,
122,3,1972,47,,,,,,,,,,,,
123,1,1972,70,,,,,,,,,,,,
124,1,1972,69,,,,,,,,,,,,
125,2,1972,49,,,,,,,,,,,,
126,2,1972,29,,,,,,,,,,,,
127,3,1972,48,,,,,,,,,,,,
128,2,1972,67,,,,,,,,,,,,
129,3,1972,22,,,,,,,,,,,,
130,3,1972,75,,,,,,,,,,,,
131,2,1972,38,,,,,,,,,,,,
132,2,1972,46,,,,,,,,,,,,
133,1,1972,63,,,,,,,,,,,,
134,2,1972,34,,,,,,,,,,,,
135,2,1972,57,,,,,,,,,,,,
136,2,1972,22,,,,,,,,,,,,
137,1,1972,46,,,,,,,,,,,,
138,2,1972,73,,,,,,,,,,,,
139,2,1972,73,,,,,,,,,,,,
140,2,1972,53,,,,,,,,,,,,
141,2,1972,84,,,,,,,,,,,,
142,3,1972,27,,,,,,,,,,,,
143,2,1972,69,,,,,,,,,,,,
144,2,1972,82,,,,,,,,,,,,
145,2,1972,67,,,,,,,,,,,,
146,2,1972,41,,,,,,,,,,,,
147,2,1972,72,,,,,,,,,,,,
148,2,1972,38,,,,,,,,,,,,
149,1,1972,59,,,,,,,,,,,,
150,1,1972,42,,,,,,,,,,,,
151,2,1972,48,,,,,,,,,,,,
152,1,1972,59,,,,,,,,,,,,
153,2,1972,39,,,,,,,,,,,,
154,2,1972,49,,,,,,,,,,,,
155,2,1972,33,,,,,,,,,,,,
156,2,1972,53,,,,,,,,,,,,
157,1,1972,30,,,,,,,,,,,,
158,2,1972,25,,,,,,,,,,,,
159,2,1972,36,,,,,,,,,,,,
160,2,1972,30,,,,,,,,,,,,
161,2,1972,28,,,,,,,,,,,,
162,2,1972,52,,,,,,,,,,,,
163,1,1972,44,,,,,,,,,,,,
164,2,1972,50,,,,,,,,,,,,
165,1,1972,38,,,,,,,,,,,,
166,2,1972,26,,,,,,,,,,,,
167,1,1972,28,,,,,,,,,,,,
168,1,1972,81,,,,,,,,,,,,
169,1,1972,55,,,,,,,,,,,,
170,1,1972,76,,,,,,,,,,,,
171,2,1972,29,,,,,,,,,,,,
172,1,1972,19,,,,,,,,,,,,
173,2,1972,76,,,,,,,,,,,,
174,2,1972,61,,,,,,,,,,,,
175,2,1972,26,,,,,,,,,,,,
176,2,1972,39,,,,,,,,,,,,
177,3,1972,19,,,,,,,,,,,,
178,1,1972,26,,,,,,,,,,,,
179,2,1972,21,,,,,,,,,,,,
180,1,1972,45,,,,,,,,,,,,
181,2,1972,27,,,,,,,,,,,,
182,1,1972,76,,,,,,,,,,,,
183,2,1972,63,,,,,,,,,,,,
184,2,1972,52,,,,,,,,,,,,
185,2,1972,65,,,,,,,,,,,,
186,3,1972,59,,,,,,,,,,,,
187,2,1972,26,,,,,,,,,,,,
188,1,1972,41,,,,,,,,,,,,
189,2,1972,56,,,,,,,,,,,,
190,3,1972,62,,,,,,,,,,,,
191,1,1972,29,,,,,,,,,,,,
192,1,1972,25,,,,,,,,,,,,
193,1,1972,41,,,,,,,,,,,,
194,2,1972,21,,,,,,,,,,,,
195,2,1972,49,,,,,,,,,,,,
196,1,1972,38,,,,,,,,,,,,
197,1,1972,50,,,,,,,,,,,,
198,2,1972,43,,,,,,,,,,,,
199,2,1972,32,,,,,,,,,,,,
200,2,1972,55,,,,,,,,,,,,
201,1,1972,27,,,,,,,,,,,,
202,2,1972,56,,,,,,,,,,,,
203,1,1972,48,,,,,,,,,,,,
204,2,1972,56,,,,,,,,,,,,
205,1,1972,44,,,,,,,,,,,,
206,2,1972,25,,,,,,,,,,,,
207,2,1972,32,,,,,,,,,,,,
208,1,1972,33,,,,,,,,,,,,
209,1,1972,48,,,,,,,,,,,,
210,2,1972,45,,,,,,,,,,,,
211,3,1972,45,,,,,,,,,,,,
212,1,1972,72,,,,,,,,,,,,
213,2,1972,45,,,,,,,,,,,,
214,3,1972,70,,,,,,,,,,,,
215,2,1972,31,,,,,,,,,,,,
216,2,1972,20,,,,,,,,,,,,
217,2,1972,22,,,,,,,,,,,,
218,2,1972,63,,,,,,,,,,,,
219,2,1972,70,,,,,,,,,,,,
220,1,1972,68,,,,,,,,,,,,
221,1,1972,43,,,,,,,,,,,,
222,2,1972,53,,,,,,,,,,,,
223,2,1972,44,,,,,,,,,,,,
224,2,1972,37,,,,,,,,,,,,
225,2,1972,55,,,,,,,,,,,,
226,1,1972,52,,,,,,,,,,,,
227,2,1972,64,,,,,,,,,,,,
228,2,1972,,,,,,,,,,,,,
229,2,1972,64,,,,,,,,,,,,
230,2,1972,27,,,,,,,,,,,,
231,1,1972,28,,,,,,,,,,,,
232,2,1972,22,,,,,,,,,,,,
233,1,1972,61,,,,,,,,,,,,
234,3,1972,82,,,,,,,,,,,,
235,1,1972,22,,,,,,,,,,,,
236,1,1972,30,,,,,,,,,,,,
237,1,1972,29,,,,,,,,,,,,
238,1,1972,60,,,,,,,,,,,,
239,1,1972,39,,,,,,,,,,,,
240,2,1972,21,,,,,,,,,,,,
241,2,1972,56,,,,,,,,,,,,
242,2,1972,72,,,,,,,,,,,,
243,2,1972,61,,,,,,,,,,,,
244,2,1972,71,,,,,,,,,,,,
245,3,1972,56,,,,,,,,,,,,
246,1,1972,71,,,,,,,,,,,,
247,1,1972,48,,,,,,,,,,,,
248,1,1972,43,,,,,,,,,,,,
249,1,1972,61,,,,,,,,,,,,
250,2,1972,70,,,,,,,,,,,,
251,1,1972,48,,,,,,,,,,,,
252,1,1972,34,,,,,,,,,,,,
253,3,1972,19,,,,,,,,,,,,
254,1,1972,52,,,,,,,,,,,,
255,3,1972,30,,,,,,,,,,,,
256,2,1972,60,,,,,,,,,,,,
257,2,1972,50,,,,,,,,,,,,
258,2,1972,47,,,,,,,,,,,,
