Year,Month,meanT_F
1948,Jan,47.03
1949,Jan,36
1950,Jan,36.94
1951,Jan,46.32
1952,Jan,44.84
1953,Jan,51.97
1954,Jan,46.32
1955,Jan,43.84
1956,Jan,47.45
1957,Jan,37.77
1958,Jan,48.32
1959,Jan,48
1960,Jan,43.26
1961,Jan,50.42
1962,Jan,45.1
1963,Jan,41.26
1964,Jan,47.87
1965,Jan,43.97
1966,Jan,45.45
1967,Jan,48.77
1968,Jan,46.23
1969,Jan,41
1970,Jan,45.77
1971,Jan,44.48
1972,Jan,43.58
1973,Jan,43.81
1974,Jan,46.39
1975,Jan,51.39
1976,Jan,48.84
1977,Jan,48.39
1978,Jan,47.06
1979,Jan,37.71
1980,Jan,43.06
1981,Jan,46.55
1982,Jan,41.71
1983,Jan,48.52
1984,Jan,48
1985,Jan,41.23
1986,Jan,49.48
1987,Jan,45.39
1988,Jan,44.13
1989,Jan,48.1
1990,Jan,48.26
1991,Jan,45.94
1992,Jan,50.16
1993,Jan,41.55
1994,Jan,48.58
1995,Jan,50
1996,Jan,46.84
1997,Jan,46.81
1998,Jan,49.42
1999,Jan,47.58
2000,Jan,44.81
2001,Jan,47.84
2002,Jan,47.04
2003,Jan,50.68
2004,Jan,46.1
2005,Jan,48.94
2006,Jan,49.1
2007,Jan,45.48
2008,Jan,42.55
2009,Jan,46.2
2010,Jan,51.35
2011,Jan,48.42
2012,Jan,48.71
2013,Jan,43.02
2014,Jan,46.06
2015,Jan,50.71
2016,Jan,48.68
2017,Jan,42.68
2018,Jan,49.68
2019,Jan,49.97
2020,Jan,51.9
2021,Jan,50.94
2022,Jan,49.06
2023,Jan,48.42
2024,Jan,49.06
2025,Jan,47.06
1948,Feb,48.93
1949,Feb,47.96
1950,Feb,48.5
1951,Feb,51.39
1952,Feb,50.48
1953,Feb,51.68
1954,Feb,51.39
1955,Feb,47.46
1956,Feb,42.52
1957,Feb,50.04
1958,Feb,54.39
1959,Feb,50.14
1960,Feb,49.45
1961,Feb,53.21
1962,Feb,49.21
1963,Feb,56.79
1964,Feb,50.62
1965,Feb,51.32
1966,Feb,48.93
1967,Feb,52.61
1968,Feb,57.14
1969,Feb,46.68
1970,Feb,53.29
1971,Feb,46.96
1972,Feb,50.1
1973,Feb,52.36
1974,Feb,49.5
1975,Feb,50.61
1976,Feb,50.03
1977,Feb,53.82
1978,Feb,50.25
1979,Feb,48.14
1980,Feb,50.62
1981,Feb,50.96
1982,Feb,49.25
1983,Feb,51.71
1984,Feb,52.14
1985,Feb,49.79
1986,Feb,50.25
1987,Feb,51.25
1988,Feb,52.21
1989,Feb,43.46
