Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Metadata.Genres,Mean_length_completionist,Mean_length_main_story
Super Mario 64 DS,TRUE,1,TRUE,TRUE,Nintendo,TRUE,85,4.69,24.95,Nintendo DS,E,2004,Action,29.76666667,14.33333333
Lumines: Puzzle Fusion,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,89,0.56,14.95,Sony PSP,E,2004,Strategy,0,10.33333333
WarioWare Touched!,TRUE,2,TRUE,TRUE,Nintendo,TRUE,81,0.54,22.95,Nintendo DS,E,2004,Action,10,1.916666667
Hot Shots Golf: Open Tee,TRUE,1,TRUE,TRUE,Sony,TRUE,81,0.49,12.95,Sony PSP,E,2004,Sports,0,0
Spider-Man 2,TRUE,1,TRUE,TRUE,Activision,TRUE,61,0.45,14.95,Nintendo DS,E,2004,Action,72.56666667,8.35
The Urbz: Sims in the City,TRUE,1,TRUE,TRUE,EA,TRUE,67,0.41,12.95,Nintendo DS,M,2004,Simulation,30.03333333,15.5
Ridge Racer,TRUE,1,TRUE,TRUE,Namco,TRUE,88,0.36,19.95,Sony PSP,E,2004,Racing,1.25,0.616666667
Metal Gear Ac!d,TRUE,1,TRUE,TRUE,Konami,TRUE,75,0.34,17.95,Sony PSP,E,2004,Strategy,80,20.7
Madden NFL 2005,TRUE,1,TRUE,TRUE,EA,TRUE,68,0.25,8.95,Nintendo DS,T,2004,Sports,0,0
Pokmon Dash,TRUE,1,TRUE,TRUE,Nintendo,TRUE,46,0.22,24.95,Nintendo DS,T,2004,Racing,12,1.116666667
Dynasty Warriors,TRUE,1,TRUE,TRUE,,TRUE,62,0.2,14.95,Sony PSP,E,2004,Action,0,8.883333333
Feel the Magic XY/XX,TRUE,1,TRUE,TRUE,Sega,TRUE,75,0.16,8.95,Nintendo DS,T,2004,Action,0,2.85
Ridge Racer DS,TRUE,1,TRUE,TRUE,Namco,TRUE,63,0.15,9.95,Nintendo DS,E,2004,Racing,0,2.233333333
Darkstalkers Chronicle: The Chaos Tower,TRUE,1,TRUE,TRUE,Capcom,TRUE,74,0.14,14.95,Sony PSP,E,2004,Action,0,1.633333333
Ape Escape Academy,TRUE,4,TRUE,TRUE,Sony,TRUE,51,0.13,14.95,Sony PSP,E,2004,Action,0,1.883333333
Polarium,TRUE,1,TRUE,TRUE,Nintendo,TRUE,73,0.12,8.95,Nintendo DS,E,2004,Strategy,12,5.416666667
Asphalt: Urban GT,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,60,0.11,14.95,Nintendo DS,E,2004,Racing,9.816666667,15
Zoo Keeper,TRUE,1,TRUE,TRUE,,TRUE,74,0.1,14.95,Nintendo DS,T,2004,Action,11.75,6
Mr. DRILLER: Drill Spirits,TRUE,1,TRUE,TRUE,Namco,TRUE,72,0.09,14.95,Nintendo DS,T,2004,Action,0,9.883333333
Sprung,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,48,0.06,8.95,Nintendo DS,E,2004,Adventure,17.75,0
Armored Core: Formula Front - Extreme Battle,TRUE,1,TRUE,TRUE,,TRUE,66,0.05,16.95,Sony PSP,E,2004,Action,0,0
Puyo Pop Fever,TRUE,1,TRUE,TRUE,Sega,TRUE,76,0.04,19.95,Nintendo DS,E,2004,Action,0,1.75
Mario Kart DS,TRUE,1,TRUE,TRUE,Nintendo,TRUE,91,9.99,29.95,Nintendo DS,E,2005,Racing,16.38333333,4.783333333
Nintendogs,TRUE,1,TRUE,TRUE,Nintendo,TRUE,83,9.72,26.95,Nintendo DS,E,2005,Simulation,100,27.96666667
Brain Age: Train Your Brain in Minutes a Day!,TRUE,1,TRUE,TRUE,Nintendo,TRUE,77,5.07,17.95,Nintendo DS,M,2005,Action,1,0.933333333
Brain Agey: More Training in Minutes a Day!,TRUE,1,TRUE,TRUE,Nintendo,TRUE,77,3.65,17.95,Nintendo DS,E,2005,Action,1,7.266666667
Grand Theft Auto: Liberty City Stories,TRUE,1,TRUE,TRUE,"Capcom,Rockstar",TRUE,88,2.97,17.95,Sony PSP,E,2005,Action,46.66666667,14.21666667
Animal Crossing: Wild World,TRUE,1,TRUE,TRUE,Nintendo,TRUE,86,2.6,24.95,Nintendo DS,T,2005,Simulation,408.5833333,72.38333333
Big Brain Academy,TRUE,1,TRUE,TRUE,Nintendo,TRUE,74,1.77,16.95,Nintendo DS,E,2005,Action,16.38333333,4.3
Call of Duty 2,TRUE,4,TRUE,TRUE,"Activision,Konami",TRUE,89,1.69,17.95,X360,E,2005,Action,11.63333333,8.516666667
Midnight Club 3: DUB Edition,TRUE,1,TRUE,TRUE,Rockstar,TRUE,74,1.69,14.95,Sony PSP,T,2005,Racing,48.86666667,19.16666667
Need for Speed: Most Wanted 5-1-0,TRUE,1,TRUE,TRUE,EA,TRUE,72,1.67,14.95,Sony PSP,M,2005,Racing,0,12.16666667
Pokmon Mystery Dungeon: Blue Rescue Team,TRUE,1,TRUE,TRUE,Nintendo,TRUE,62,1.22,14.95,Nintendo DS,T,2005,Role-Playing,111.9666667,22.56666667
Sonic Rush,TRUE,1,TRUE,TRUE,Sega,TRUE,82,1.2,14.95,Nintendo DS,E,2005,Action,13.43333333,4.966666667
Star Wars: Battlefront II,TRUE,1,TRUE,TRUE,,TRUE,69,1.09,16.95,Sony PSP,E,2005,Action,48.9,7.783333333
SOCOM: U.S. Navy SEALs - Fireteam Bravo,TRUE,1,TRUE,TRUE,Sony,TRUE,82,1.07,14.95,Sony PSP,E,2005,Action,0,8.583333333
Need for Speed: Most Wanted,TRUE,2,TRUE,TRUE,EA,TRUE,83,0.95,17.95,X360,E,2005,Racing,34.6,10.18333333
Zoo Tycoon DS,TRUE,1,TRUE,TRUE,THQ,TRUE,44,0.92,12.95,Nintendo DS,T,2005,Simulation,0,0
The Sims 2,TRUE,1,TRUE,TRUE,EA,TRUE,70,0.83,17.95,Nintendo DS,M,2005,Role-Playing,200,40.66666667
Mario & Luigi: Partners in Time,TRUE,1,TRUE,TRUE,Nintendo,TRUE,86,0.75,29.95,Nintendo DS,E,2005,Action,33.91666667,18.15
Madden NFL 06,TRUE,1,TRUE,TRUE,EA,TRUE,75,0.75,7.95,Sony PSP,E,2005,Sports,3.75,0
Need for Speed Underground: Rivals,TRUE,4,TRUE,TRUE,EA,TRUE,74,0.73,17.95,Sony PSP,E,2005,Racing,27.56666667,12
Twisted Metal: Head-On,TRUE,1,TRUE,TRUE,Sony,TRUE,79,0.73,14.95,Sony PSP,E,2005,Action,0,0
Perfect Dark Zero,TRUE,4,TRUE,TRUE,Microsoft,TRUE,79,0.7,17.95,X360,E,2005,Action,28.85,7.816666667
Super Monkey Ball: Touch & Roll,TRUE,1,TRUE,TRUE,Sega,TRUE,63,0.7,15.95,Nintendo DS,T,2005,Action,0,0.85
Super Princess Peach,TRUE,1,TRUE,TRUE,Nintendo,TRUE,75,0.7,29.95,Nintendo DS,T,2005,Action,17.78333333,7.616666667
Burnout Legends,TRUE,1,TRUE,TRUE,EA,TRUE,86,0.68,14.95,Sony PSP,T,2005,Action,15.36666667,6.516666667
Madden NFL 06,TRUE,2,TRUE,TRUE,EA,TRUE,74,0.62,4.95,X360,E,2005,Sports,3.75,0
Clubhouse Games,TRUE,1,TRUE,TRUE,Nintendo,TRUE,83,0.61,17.95,Nintendo DS,E,2005,Strategy,20,0
ATV Offroad Fury: Blazin' Trails,TRUE,4,TRUE,TRUE,Sony,TRUE,63,0.56,12.95,Sony PSP,T,2005,Racing,0,0
Untold Legends: Brotherhood of the Blade,TRUE,1,TRUE,TRUE,"Activision,Sony",TRUE,68,0.56,12.95,Sony PSP,M,2005,Action,0,20
Tony Hawk's Underground 2: Remix,TRUE,1,TRUE,TRUE,Activision,TRUE,83,0.49,14.95,Sony PSP,T,2005,Sports,23.45,0
The Sims 2,TRUE,1,TRUE,TRUE,EA,TRUE,65,0.46,14.95,Sony PSP,T,2005,Simulation,200,40.66666667
WipEout Pure,TRUE,1,TRUE,TRUE,Sony,TRUE,88,0.45,12.95,Sony PSP,E,2005,Action,0,6.716666667
NBA Live 06,TRUE,1,TRUE,TRUE,EA,TRUE,80,0.42,9.95,Sony PSP,E,2005,Sports,0,4
WWE Smackdown vs. Raw 2006,TRUE,4,TRUE,TRUE,THQ,TRUE,81,0.38,14.95,Sony PSP,T,2005,Action,46.48333333,7.966666667
Dead or Alive 4,TRUE,4,TRUE,TRUE,,TRUE,85,0.38,17.95,X360,E,2005,Action,138.75,3.733333333
